acc_x,speed_x_km,time,acc_y,speed_y_km,speed
0.7743602,-27.8554,244,-0.36095297,-178.1105,180
0.6065209,-27.8554,244,-0.29802108,-178.1105,180
0.9814055,-24.3224,245,1.1972463,-173.8004,175
2.1884074,-24.3224,245,1.8717179,-173.8004,175
-0.8089379,-27.2346,246,1.0836127,-169.8994,172
-1.4189359,-32.3427,247,-0.68629175,-172.3701,175
-1.9490403,-32.3427,247,-0.4390863,-172.3701,175
-0.9635408,-35.8115,248,-0.03332717,-172.4901,176
1.3285154,-35.8115,248,0.61967075,-172.4901,176
0.7830925,-32.9923,249,0.42302078,-170.9672,174
1.0842812,-32.9923,249,-0.014214635,-170.9672,174
0.6971524,-30.4826,250,-0.19404203,-171.6657,174
-0.6216645,-30.4826,250,0.76672405,-171.6657,174
-0.60453093,-32.6589,251,-0.08956313,-171.9882,175
-0.29943419,-32.6589,251,-0.30557072,-171.9882,175
-0.38016188,-34.0275,252,-0.044898227,-172.1498,175
0.9922415,-34.0275,252,-0.70322436,-172.1498,175
1.1263778,-29.9725,253,-0.83935595,-175.1715,178
0.38211322,-28.5969,254,0.3638531,-173.8616,176
-0.8359933,-28.5969,254,1.8958783,-173.8616,176
0.20796096,-27.8483,255,1.3054607,-169.1619,171
0.449808,-27.8483,255,-0.6147464,-169.1619,171
0.8314309,-24.8551,256,-0.9005833,-172.4040,174
0.37685418,-24.8551,256,-0.47461724,-172.4040,174
-0.5557231,-26.8557,257,-1.081688,-176.2981,178
